country,scenario_text,scenario_id,question,trait
japan,"In a bustling Tokyo office, a young employee greets the company director with a deep bow before presenting the report, understanding the significance of this gesture and maintaining eye contact to acknowledge their superior’s seniority.",0,"Imagine you are in the position of the young employee. While preparing the report, you find a creative way to visualize the data. How would you decide to present this idea to the director, considering the traditional office setting?",Openness to Experience
japan,"In a bustling Tokyo office, a young employee greets the company director with a deep bow before presenting the report, understanding the significance of this gesture and maintaining eye contact to acknowledge their superior’s seniority.",0,"Assume you are in the position of the young employee. Before the meeting with the director, how would you ensure that your report is not only thoroughly checked for errors but also perfectly formatted?",Conscientiousness
japan,"In a bustling Tokyo office, a young employee greets the company director with a deep bow before presenting the report, understanding the significance of this gesture and maintaining eye contact to acknowledge their superior’s seniority.",0,"Imagine you are the young employee eager to make a strong impression. During the meeting with the director, how would you engage in conversation after presenting the report while respecting the formal office environment?",Extraversion
japan,"In a bustling Tokyo office, a young employee greets the company director with a deep bow before presenting the report, understanding the significance of this gesture and maintaining eye contact to acknowledge their superior’s seniority.",0,"Assume you are in the position of the young employee. If the director provides feedback that you find challenging, how would you handle the feedback while maintaining harmony and showing respect?",Agreeableness
japan,"In a bustling Tokyo office, a young employee greets the company director with a deep bow before presenting the report, understanding the significance of this gesture and maintaining eye contact to acknowledge their superior’s seniority.",0,Imagine you are the young employee just before the meeting with the director. How do you manage feelings of anxiety or stress to remain composed as you present your report?,Neuroticism
japan,"During family gatherings, grandchildren patiently wait for their grandparents to start eating before commencing their own meal, ensuring that they follow the proper etiquette drilled into them from a young age.",1,"Imagine you are at a Japanese family gathering where some guests introduce a fusion dish combining traditional Japanese flavors with international cuisine. How do you respond to trying the new dish, and what influences your reaction?",Openness to Experience
japan,"During family gatherings, grandchildren patiently wait for their grandparents to start eating before commencing their own meal, ensuring that they follow the proper etiquette drilled into them from a young age.",1,"Assume you are responsible for setting up a traditional Japanese family dinner. How do you ensure everything is prepared according to customs and traditions, and how do you double-check that nothing is missed?",Conscientiousness
japan,"During family gatherings, grandchildren patiently wait for their grandparents to start eating before commencing their own meal, ensuring that they follow the proper etiquette drilled into them from a young age.",1,"Imagine you find yourself in a lively conversation at a family gathering in Japan. How do you engage with family members during this social occasion, and how do you balance listening with sharing your own experiences?",Extraversion
japan,"During family gatherings, grandchildren patiently wait for their grandparents to start eating before commencing their own meal, ensuring that they follow the proper etiquette drilled into them from a young age.",1,"Assume you are at a Japanese festival with family, and an elder asks for your help with carrying some festival items. How do you respond to their request, and what steps do you take to ensure their needs are met?",Agreeableness
japan,"During family gatherings, grandchildren patiently wait for their grandparents to start eating before commencing their own meal, ensuring that they follow the proper etiquette drilled into them from a young age.",1,"Imagine you are at a Japanese family dinner, and an unexpected topic of disagreement arises between relatives. How do you handle your emotions during this unexpected tension, and what strategies do you use to maintain composure?",Neuroticism
japan,"In the classroom, students stand up and bow when the teacher enters, signifying a traditional acknowledgment and taking their seats only after the teacher gives permission.",2,Imagine you are a student in the classroom observing your classmates demonstrate this traditional form of respect. How do you feel about the idea of maintaining such traditions in a modern learning environment?,Openness to Experience
japan,"In the classroom, students stand up and bow when the teacher enters, signifying a traditional acknowledgment and taking their seats only after the teacher gives permission.",2,Assume you are in the position where you are slightly late to class as everyone stands and bows. How do you ensure you follow the proper protocol without disrupting the class?,Conscientiousness
japan,"In the classroom, students stand up and bow when the teacher enters, signifying a traditional acknowledgment and taking their seats only after the teacher gives permission.",2,"Imagine you are standing in your classroom, waiting for the teacher's cue to sit. How do you interact with your classmates in the moments before and after this ritual?",Extraversion
japan,"In the classroom, students stand up and bow when the teacher enters, signifying a traditional acknowledgment and taking their seats only after the teacher gives permission.",2,Assume you notice a new student is unsure of the bowing practice. How do you assist them in understanding and participating in this tradition?,Agreeableness
japan,"In the classroom, students stand up and bow when the teacher enters, signifying a traditional acknowledgment and taking their seats only after the teacher gives permission.",2,"Imagine that the teacher enters the room unexpectedly, and you're unsure about when to bow. How do you handle your anxiety or discomfort in this situation?",Neuroticism
japan,"During a tea ceremony, the apprentice meticulously serves tea to the master, focusing on the master’s needs and following every subtle instruction given with utmost care.",3,"Imagine you are the apprentice serving tea, and the master suggests adding an unusual ingredient to the tea. How do you respond to this suggestion?",Openness to Experience
japan,"During a tea ceremony, the apprentice meticulously serves tea to the master, focusing on the master’s needs and following every subtle instruction given with utmost care.",3,"Assume you are in the position of ensuring the tea ceremony proceeds perfectly, even if it requires additional effort outside of your normal routine. How do you handle this responsibility?",Conscientiousness
japan,"During a tea ceremony, the apprentice meticulously serves tea to the master, focusing on the master’s needs and following every subtle instruction given with utmost care.",3,"Imagine as the apprentice, you have the opportunity to engage in a discussion with your master about the tea ceremony. How do you initiate or contribute to the conversation?",Extraversion
japan,"During a tea ceremony, the apprentice meticulously serves tea to the master, focusing on the master’s needs and following every subtle instruction given with utmost care.",3,"During the tea ceremony, the master requests a change in the seating arrangement that affects other apprentices. How do you address the master's request while considering the others involved?",Agreeableness
japan,"During a tea ceremony, the apprentice meticulously serves tea to the master, focusing on the master’s needs and following every subtle instruction given with utmost care.",3,"Imagine you are serving tea, and you accidentally spill a small amount. How do you react to this unexpected mistake in front of your master?",Neuroticism
japan,"At a Shinto shrine festival, a young boy eagerly listens to the stories of the elders about the village's history and customs, understanding his role in conserving these tales.",4,"Imagine you are at the Shinto shrine festival, and you overhear the elders telling a story about a mystical creature said to guard the village. How do you react to this tale and what do you do with this newfound piece of folklore?",Openness to Experience
